project_id,state,district,constituency,MP_name,project_name,project_category,sanctioned_amount,released_amount,expenditure,project_status,sanction_date,start_date,completion_date,implementing_agency,contractor,latitude,longitude,beneficiary_count,_demo_injected_issue
MPLAD-2026-00812,Odisha,Ganjam,Ganjam Constituency 3,Deepak Gupta,Canal Improvement Works,Irrigation,4972000.0,4268279.77,3299397.3,Completed,2024-10-28,2024-12-18,2025-04-10,Rural Development Department,Saksham Projects,20.709753,85.523835,1586.0,NORMAL
MPLAD-2026-00077,Andhra Pradesh,Krishna,Krishna Constituency 1,Vijay Kumar,Healthcare Facility Improvement,Healthcare,2281332.35,2000018.63,1675280.48,Completed,2023-05-13,2023-08-03,2023-10-31,State Water Resources Department,Prime Development Works,16.193989,80.704514,12847.0,EXTREME_COST
MPLAD-2026-00637,West Bengal,Darjeeling,Darjeeling Constituency 5,Arun Rao,Rural Drinking Water Facility,Drinking Water,1615000.0,1272820.15,898127.25,Delayed,2022-05-26,2022-07-15,2022-10-12,Zilla Parishad,Reliable Infra Solutions,17.381213,78.487127,11017.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00974,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 8,Ramesh Naidu,Solar Lighting Installation,Electricity,2560000.0,2170082.81,1794505.1,Completed,2023-10-04,2023-12-19,2024-07-09,Zilla Parishad,Metro Civil Contractors,27.016395,80.933032,1372.0,NORMAL
MPLAD-2026-00939,Gujarat,Rajkot,Rajkot Constituency 5,Ramesh Naidu,Construction of Primary Health Centre,Healthcare,3487000.0,2743088.9,1844595.46,Delayed,2025-03-28,2025-04-17,2025-07-20,District Administration,Prime Development Works,22.769524,,7913.0,DATA_QUALITY
MPLAD-2026-00900,Gujarat,Vadodara,Vadodara Constituency 3,Meena Patel,Construction of Minor Irrigation Facility,Irrigation,1394000.0,1077053.96,806696.93,Completed,2024-09-20,2024-11-25,2025-04-01,Urban Local Body,Unity Infrastructure,23.506703,72.58099,6600.0,NORMAL
MPLAD-2026-00281,Andhra Pradesh,Guntur,Guntur Constituency 1,Ramesh Naidu,Pipeline Extension for Drinking Water,Drinking Water,4676000.0,3631072.45,3062613.35,Delayed,2022-09-10,2022-10-06,2023-12-25,District Administration,Prime Development Works,16.630399,81.53393,6573.0,MAJOR_DELAY
MPLAD-2026-00884,Gujarat,Vadodara,Vadodara Constituency 2,Sunita Das,Community Infrastructure Development,Community Infrastructure,3390000.0,3360128.63,1724129.33,Completed,2022-04-11,2022-06-23,2022-09-19,Rural Development Department,Reliable Infra Solutions,23.999424,72.492251,-79.0,INVALID_NUMERICAL_DATA
MPLAD-2026-00762,Maharashtra,Nagpur,Nagpur Constituency 1,Vijay Kumar,Village Irrigation Infrastructure,Irrigation,2007000.0,1710033.02,1326966.99,Completed,2023-08-22,2023-10-13,2024-05-19,State Public Works Department,Unity Infrastructure,18.974082,72.445952,4865.0,NORMAL
MPLAD-2026-00320,Uttar Pradesh,Varanasi,Varanasi Constituency 7,Rohit Mehta,Installation of Drinking Water Supply System,Drinking Water,1229000.0,991869.96,603492.49,Completed,2022-08-20,2022-10-08,2023-05-10,State Water Resources Department,Sunrise Engineering,26.266218,80.363415,12895.0,NORMAL
MPLAD-2026-00550,Odisha,Khordha,Khordha Constituency 8,Meena Patel,Public Infrastructure Improvement,Public Facilities,4460000.0,4035442.07,2501200.24,Completed,2024-10-15,2024-11-02,2025-04-27,Zilla Parishad,Vardhan Construction,20.708447,85.98042,1869.0,NORMAL
MPLAD-2026-00175,Maharashtra,Aurangabad,Aurangabad Constituency 2,Rajesh Sharma,Construction of School Laboratory,Education,1904000.0,1644738.33,910253.56,Completed,2023-09-17,2023-11-15,2024-05-14,State Water Resources Department,Reliable Infra Solutions,18.7527,72.781649,5325.0,NORMAL
MPLAD-2026-00372,Andhra Pradesh,Nellore,Nellore Constituency 6,Naveen Singh,Installation of Drinking Water Supply System,Drinking Water,990000.0,988449.46,524538.12,Completed,2022-08-06,2022-11-02,INVALID_DATE,Urban Local Body,Prime Development Works,16.218832,80.611741,687.0,INVALID_DATE
MPLAD-2026-00528,West Bengal,Kolkata,Kolkata Constituency 2,Deepak Gupta,Construction of Community Hall,Community Infrastructure,4417000.0,3773857.36,2779557.45,Completed,2024-03-04,2024-05-15,2024-10-08,Municipal Corporation,Prime Development Works,22.324963,88.061669,12583.0,NORMAL
MPLAD-2026-00211,Tamil Nadu,Madurai,Madurai Constituency 7,Deepak Gupta,Construction of Internal Roads,Roads,1671000.0,1667105.16,776105.88,Completed,2023-04-09,2023-06-20,2024-01-08,District Rural Development Agency,Apex Civil Works,14.010037,81.060603,7670.0,NORMAL
MPLAD-2026-00236,Uttar Pradesh,Agra,Agra Constituency 7,Kavita Joshi,Construction of Overhead Water Tank,Drinking Water,2488000.0,2434155.2,1590927.77,Completed,2023-09-20,2023-12-10,2024-05-13,Municipal Corporation,Saksham Projects,26.722927,79.910335,1175.0,NORMAL
MPLAD-2026-00102,Gujarat,Surat,Surat Constituency 7,Rajesh Sharma,Construction of Community Health Facility,Healthcare,4481000.0,4403111.18,2894818.63,Completed,2023-03-23,2023-06-10,2023-11-12,Urban Local Body,Bharat Construction Co,23.509873,73.045611,3778.0,NORMAL
MPLAD-2026-DUP-0014,West Bengal,Murshidabad,Murshidabad Constituency 6,Kavita Joshi,Village Sanitation Infrastructure - Phase II,Sanitation,2977789.86,2496111.56,1456446.79,Completed,2023-05-28,2023-07-03,2023-09-02,Zilla Parishad,Metro Civil Contractors,22.580888,89.118297,11768.0,SIMILAR_DUPLICATE
MPLAD-2026-00903,Gujarat,Surat,Surat Constituency 7,Suresh Reddy,Sports Infrastructure Improvement,Sports Infrastructure,3323000.0,3230457.89,3035226.92,Completed,2025-03-10,2025-04-27,2025-12-23,Rural Development Department,Unity Infrastructure,22.211087,71.858539,7166.0,NORMAL
MPLAD-2026-00948,Telangana,Hyderabad,Hyderabad Constituency 1,Meena Patel,Renovation of Health Sub Centre,Healthcare,725000.0,558143.42,1038047.26,Completed,2023-12-21,2024-01-29,2024-07-28,State Water Resources Department,Reliable Infra Solutions,17.345237,78.320195,10019.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00347,Telangana,Nalgonda,Nalgonda Constituency 8,Suresh Reddy,Construction of Public Facility,Public Facilities,3179000.0,2622987.54,2138770.09,Completed,2024-03-26,2024-05-28,2024-08-16,Urban Local Body,Dakshin Projects,16.898522,78.763871,5800.0,NORMAL
MPLAD-2026-00140,Telangana,Karimnagar,Karimnagar Constituency 5,Suresh Reddy,Solar Lighting Installation,Electricity,3606000.0,3280298.26,3018916.92,Delayed,2023-01-23,2023-03-07,2023-07-01,Municipal Corporation,Prime Development Works,17.416411,78.313309,7554.0,NORMAL
MPLAD-2026-00622,Gujarat,Surat,Surat Constituency 7,Rohit Mehta,Construction of School Laboratory,Education,4966000.0,4262848.08,1973506.54,Completed,2024-05-21,2024-07-06,2024-09-23,District Rural Development Agency,Saksham Projects,22.760744,72.114759,11306.0,NORMAL
MPLAD-2026-00500,Odisha,Ganjam,Ganjam Constituency 2,Sunita Das,Solar Lighting Installation,Electricity,3262000.0,2800513.38,1856764.31,Delayed,2021-03-24,2021-06-12,2021-11-06,Zilla Parishad,Greenfield Contractors,17.385419,78.485717,10710.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00371,Telangana,Hyderabad,Hyderabad Constituency 4,Naveen Singh,Construction of Indoor Sports Hall,Sports Infrastructure,3289000.0,2925194.38,3756680.45,Completed,2021-04-11,2021-05-19,2021-08-24,State Public Works Department,Unity Infrastructure,16.556607,77.91089,2481.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00199,Uttar Pradesh,Varanasi,Varanasi Constituency 2,Anil Verma,Electricity Infrastructure Improvement,Electricity,761000.0,587151.98,391772.34,Completed,2023-07-18,2023-08-09,,Municipal Corporation,Unity Infrastructure,26.075789,81.555443,2056.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00688,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 5,Anil Verma,Waste Management Facility,Sanitation,4273000.0,4054156.39,528794.85,Ongoing,2022-05-10,2022-05-25,2022-11-07,Municipal Corporation,Shree Infrastructure Pvt Ltd,27.508727,80.852004,13051.0,UNDER_UTILIZATION
MPLAD-2026-00585,Odisha,Ganjam,Ganjam Constituency 6,Suresh Reddy,Waste Management Facility,Sanitation,3396000.0,3192659.31,2268181.48,Completed,2023-04-30,2023-06-20,2023-08-25,Urban Local Body,Reliable Infra Solutions,20.563739,86.208537,5715.0,NORMAL
MPLAD-2026-00902,Tamil Nadu,Coimbatore,Coimbatore Constituency 4,Naveen Singh,Construction of Community Health Facility,Healthcare,3416000.0,2746436.75,1252949.65,Completed,2022-05-15,2022-06-01,2023-01-03,District Administration,Prime Development Works,12.763917,79.589529,9214.0,NORMAL
MPLAD-2026-00060,Telangana,Nalgonda,Nalgonda Constituency 7,Vijay Kumar,Construction of Indoor Sports Hall,Sports Infrastructure,4192000.0,3440415.25,2061764.91,Completed,2024-04-17,2024-07-15,2025-02-28,State Water Resources Department,National Projects Ltd,17.89927,78.82507,8924.0,NORMAL
MPLAD-2026-00329,Telangana,Warangal,Warangal Constituency 1,Arun Rao,Healthcare Facility Improvement,Healthcare,2391000.0,2262917.32,1582226.99,Completed,2023-01-31,2023-04-15,2023-12-09,District Rural Development Agency,Unity Infrastructure,17.391268,78.475844,13920.0,NORMAL
MPLAD-2026-00097,Rajasthan,Udaipur,Udaipur Constituency 3,Manoj Yadav,Construction of Sports Ground,Sports Infrastructure,3407000.0,2915886.37,1839673.67,Delayed,2023-01-13,2023-03-08,2023-06-22,State Water Resources Department,Unity Infrastructure,27.008742,75.226718,3245.0,NORMAL
MPLAD-2026-00313,Tamil Nadu,Coimbatore,Coimbatore Constituency 1,Deepak Gupta,Village Electrification Works,Electricity,4728000.0,3584489.05,2235446.81,Delayed,2024-11-06,2024-12-13,2025-06-08,State Water Resources Department,Reliable Infra Solutions,13.799634,80.040653,5271.0,NORMAL
MPLAD-2026-00975,Odisha,Khordha,Khordha Constituency 1,Rohit Mehta,Construction of Approach Road,Roads,725000.0,545782.16,320437.25,Completed,2021-01-01,2021-02-23,2021-08-15,Municipal Corporation,Vardhan Construction,20.802823,85.801373,-128.0,INVALID_NUMERICAL_DATA
MPLAD-2026-00300,Tamil Nadu,Chennai,Chennai Constituency 5,Kavita Joshi,Sports Infrastructure Improvement,Sports Infrastructure,1660000.0,1247269.82,1025034.83,Completed,2021-01-15,2021-04-13,2021-10-23,District Administration,Shree Infrastructure Pvt Ltd,12.882768,80.440485,10824.0,NORMAL
MPLAD-2026-00278,Gujarat,Rajkot,Rajkot Constituency 8,Amit Kumar,Village Sanitation Infrastructure,Sanitation,1941000.0,1495708.13,744830.07,Completed,2025-05-03,2025-07-25,2026-02-06,Zilla Parishad,Bharat Construction Co,23.174421,72.386055,11082.0,NORMAL
MPLAD-2026-00925,Andhra Pradesh,Visakhapatnam,Visakhapatnam Constituency 8,Rajesh Sharma,Construction of Overhead Water Tank,Drinking Water,671000.0,568347.71,279515.69,Completed,2024-11-21,2024-12-14,2025-04-14,State Water Resources Department,Unity Infrastructure,16.936256,80.792237,12197.0,NORMAL
MPLAD-2026-00602,Odisha,Khordha,Khordha Constituency 6,Meena Patel,Construction of Public Facility,Public Facilities,3804000.0,3132463.69,1715144.4,Completed,2021-10-21,2022-01-10,2022-08-04,State Public Works Department,Reliable Infra Solutions,20.351134,86.068984,2194.0,NORMAL
MPLAD-2026-00440,West Bengal,Howrah,Howrah Constituency 5,Rajesh Sharma,Road Widening and Improvement,Roads,4690000.0,4418587.55,4082308.85,Delayed,2022-10-18,2022-11-21,2023-01-21,Urban Local Body,Saksham Projects,22.56521,88.898677,10704.0,NORMAL
MPLAD-2026-00838,Rajasthan,Kota,Kota Constituency 8,Anil Verma,Renovation of Public Building,Public Facilities,4658000.0,3700346.21,2198760.17,Completed,2023-12-27,2024-02-22,2024-08-18,District Rural Development Agency,Greenfield Contractors,27.639319,75.642256,6380.0,NORMAL
MPLAD-2026-00571,Uttar Pradesh,Varanasi,Varanasi Constituency 7,Suresh Reddy,Construction of Overhead Water Tank,Drinking Water,2914000.0,2533905.96,1227377.16,Completed,2022-02-27,2022-03-30,2022-07-20,State Water Resources Department,Eastern Infrastructure,26.712796,81.565268,2701.0,NORMAL
MPLAD-2026-00880,Karnataka,Mysuru,Mysuru Constituency 2,Ramesh Naidu,Rural Drinking Water Facility,Drinking Water,1770000.0,1599643.94,919618.34,Completed,2022-05-29,2022-07-06,2023-02-19,State Water Resources Department,Reliable Infra Solutions,13.697125,78.186312,,DATA_QUALITY
MPLAD-2026-00262,Tamil Nadu,Chennai,Chennai Constituency 8,Arun Rao,Water Conservation Structure,Irrigation,896000.0,783654.18,476485.85,Completed,2023-10-16,2023-11-02,2024-01-27,State Public Works Department,Shree Infrastructure Pvt Ltd,12.784519,,13631.0,DATA_QUALITY
MPLAD-2026-00579,Maharashtra,Aurangabad,Aurangabad Constituency 1,Kavita Joshi,Construction of CC Road,Roads,3976000.0,3744511.55,3424019.84,Completed,2023-02-07,2023-03-24,2023-07-13,State Public Works Department,Krishna Builders,18.766332,73.891296,338.0,NORMAL
MPLAD-2026-00024,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 4,Manoj Yadav,Pipeline Extension for Drinking Water,Drinking Water,4011000.0,3894816.07,2544049.83,Delayed,2024-06-25,2024-07-29,2024-11-26,Municipal Corporation,Metro Civil Contractors,26.639413,81.421905,14541.0,NORMAL
MPLAD-2026-00031,West Bengal,Howrah,Howrah Constituency 2,Anil Verma,Construction of Indoor Sports Hall,Sports Infrastructure,920000.0,908959.92,515775.04,Completed,2022-09-28,2022-11-10,2023-02-28,Zilla Parishad,Shree Infrastructure Pvt Ltd,22.356972,88.280353,7884.0,NORMAL
MPLAD-2026-00618,Maharashtra,Pune,Pune Constituency 2,Rajesh Sharma,Construction of Indoor Sports Hall,Sports Infrastructure,2136000.0,1892724.1,1252085.57,Completed,2024-09-09,2024-09-24,2025-01-25,Rural Development Department,Saksham Projects,18.714346,73.615303,10899.0,NORMAL
MPLAD-2026-00011,West Bengal,Kolkata,Kolkata Constituency 3,Suresh Reddy,Renovation of Public Building,Public Facilities,1693000.0,1639007.28,1084316.36,Completed,2022-03-10,2022-06-02,2023-01-24,District Administration,Sunrise Engineering,23.232142,88.262301,11104.0,NORMAL
MPLAD-2026-00222,Maharashtra,Nashik,Nashik Constituency 3,Suresh Reddy,Construction of Approach Road,Roads,2262000.0,2258767.11,2106508.07,Completed,2021-03-08,2021-04-15,2021-11-15,Zilla Parishad,Metro Civil Contractors,18.145651,72.837596,10579.0,NORMAL
MPLAD-2026-00821,Odisha,Khordha,Khordha Constituency 4,Naveen Singh,Canal Improvement Works,Irrigation,3955000.0,3331229.82,5055466.25,Completed,2021-01-04,2021-03-10,2021-05-28,State Water Resources Department,National Projects Ltd,17.386659,78.486312,-464.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00297,Odisha,Khordha,Khordha Constituency 4,Meena Patel,Electricity Infrastructure Improvement,Electricity,989000.0,791780.68,696605.35,Completed,2023-10-30,2024-01-06,2024-04-13,State Water Resources Department,National Projects Ltd,20.511641,85.974648,14871.0,NORMAL
MPLAD-2026-00055,Maharashtra,Pune,Pune Constituency 3,Arun Rao,Sports Infrastructure Improvement,Sports Infrastructure,4622000.0,3676210.71,2730192.34,Completed,2024-07-24,2024-10-09,2024-12-31,Urban Local Body,Unity Infrastructure,19.191898,72.844199,5360.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00543,West Bengal,Howrah,Howrah Constituency 1,Priya Singh,Installation of Street Lighting,Electricity,4415000.0,3939396.59,2745781.72,Completed,2024-02-05,2024-03-15,2024-10-29,Municipal Corporation,Greenfield Contractors,22.744471,88.557419,1170.0,NORMAL
MPLAD-2026-00210,Tamil Nadu,Salem,Salem Constituency 5,Arun Rao,Construction of Community Toilet,Sanitation,907000.0,863372.6,519843.11,Completed,2024-12-14,2025-01-03,2025-04-28,Municipal Corporation,Unity Infrastructure,13.613384,80.301083,1594.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00605,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 2,Manoj Yadav,Community Infrastructure Development,Community Infrastructure,4596000.0,4300670.02,3494354.78,Completed,2024-09-01,2024-11-26,2025-05-16,Rural Development Department,Unity Infrastructure,26.215528,81.73351,1995.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00693,Telangana,Warangal,Warangal Constituency 1,Manoj Yadav,Construction of Minor Irrigation Facility,Irrigation,999000.0,980817.96,501533.58,Delayed,2021-10-18,2021-12-08,2022-04-14,District Rural Development Agency,Bharat Construction Co,17.718943,78.621382,8197.0,NORMAL
MPLAD-2026-00663,Tamil Nadu,Coimbatore,Coimbatore Constituency 1,Ramesh Naidu,Construction of Additional Classrooms,Education,4829000.0,4471609.16,2856152.67,Completed,2021-02-23,2021-05-03,2021-10-05,District Rural Development Agency,Bharat Construction Co,13.111713,79.38174,7912.0,NORMAL
MPLAD-2026-00867,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 8,Kavita Joshi,Construction of Primary Health Centre,Healthcare,3952000.0,3389775.37,1994653.85,Completed,2023-07-14,2023-08-17,2024-03-30,Urban Local Body,National Projects Ltd,12.962861,77.458169,7539.0,NORMAL
MPLAD-2026-00071,Tamil Nadu,Salem,Salem Constituency 6,Rajesh Sharma,Installation of Street Lighting,Electricity,1690000.0,1319716.24,837086.55,Completed,2025-03-14,2025-05-01,2025-11-26,Urban Local Body,Greenfield Contractors,13.185057,80.858914,1875.0,NORMAL
MPLAD-2026-00544,Odisha,Cuttack,Cuttack Constituency 2,Suresh Reddy,Village Sanitation Infrastructure,Sanitation,4465000.0,4162383.36,2444001.61,Completed,2024-10-20,2024-11-06,2025-07-01,Rural Development Department,Vardhan Construction,20.759728,85.931955,11252.0,NORMAL
MPLAD-2026-00108,West Bengal,Kolkata,Kolkata Constituency 5,Priya Singh,Improvement of Village Road,Roads,4486000.0,3718440.71,2249797.71,Completed,2023-03-27,2023-06-19,2023-12-17,Zilla Parishad,Metro Civil Contractors,22.430729,88.705436,4787.0,NORMAL
MPLAD-2026-00494,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 6,Rajesh Sharma,Healthcare Facility Improvement,Healthcare,1313000.0,1039992.83,732538.59,Completed,2022-07-13,2022-10-08,2023-05-25,State Public Works Department,Vardhan Construction,13.648129,77.989413,8718.0,NORMAL
MPLAD-2026-00591,Rajasthan,Kota,Kota Constituency 7,Ramesh Naidu,Community Infrastructure Development,Community Infrastructure,2703000.0,2460438.67,1830946.51,Completed,2023-04-18,2023-05-07,2023-08-06,Municipal Corporation,Vardhan Construction,26.993352,76.413701,3282.0,NORMAL
MPLAD-2026-00742,Tamil Nadu,Salem,Salem Constituency 6,Vijay Kumar,Canal Improvement Works,Irrigation,4107000.0,3530868.05,2693117.88,Delayed,2021-05-26,2021-08-21,2022-12-15,Rural Development Department,Saksham Projects,13.859834,80.090864,-113.0,MAJOR_DELAY
MPLAD-2026-00293,Rajasthan,Udaipur,Udaipur Constituency 6,Arun Rao,Construction of Public Facility,Public Facilities,2758000.0,2164318.65,1153155.28,Completed,2021-06-07,2021-08-26,2022-04-07,Municipal Corporation,National Projects Ltd,26.99424,75.898999,2678.0,NORMAL
MPLAD-2026-00290,Andhra Pradesh,Krishna,Krishna Constituency 3,Sunita Das,Development of Community Sports Facility,Sports Infrastructure,2508000.0,1993324.03,1842540.86,Delayed,2024-09-12,2024-10-15,2025-04-16,Zilla Parishad,Shree Infrastructure Pvt Ltd,15.834636,81.114689,12575.0,NORMAL
MPLAD-2026-00653,Telangana,Karimnagar,Karimnagar Constituency 7,Amit Kumar,Installation of Drinking Water Supply System,Drinking Water,3936000.0,3586170.4,1692206.3,Completed,2022-05-24,2022-06-18,2022-10-24,State Public Works Department,Greenfield Contractors,17.626429,78.082389,13082.0,NORMAL
MPLAD-2026-00040,Andhra Pradesh,Krishna,Krishna Constituency 4,Rohit Mehta,Construction of Approach Road,Roads,1186000.0,926924.52,727384.94,Completed,2024-03-01,2024-04-12,2024-10-08,Urban Local Body,Metro Civil Contractors,16.541292,79.705594,2849.0,NORMAL
MPLAD-2026-00590,West Bengal,Darjeeling,Darjeeling Constituency 8,Anil Verma,Village Electrification Works,Electricity,824000.0,646151.21,442374.01,Completed,2021-11-13,2021-12-22,2022-02-21,Urban Local Body,Saksham Projects,22.127734,87.867285,8151.0,NORMAL
MPLAD-2026-00308,Gujarat,Ahmedabad,Ahmedabad Constituency 2,Deepak Gupta,Waste Management Facility,Sanitation,4762000.0,4527402.74,4203035.5,Completed,2024-01-07,2024-04-04,2024-08-06,State Water Resources Department,Krishna Builders,24.123088,72.62955,-115.0,INVALID_NUMERICAL_DATA
MPLAD-2026-00680,Rajasthan,Jaipur,Jaipur Constituency 5,Rohit Mehta,Public Infrastructure Improvement,Public Facilities,2862000.0,2625630.57,1522140.04,Completed,2021-04-21,2021-05-17,2021-11-02,Rural Development Department,Metro Civil Contractors,26.24689,75.869812,2795.0,NORMAL
MPLAD-2026-00067,Odisha,Puri,Puri Constituency 7,Ramesh Naidu,Drainage Improvement Works,Sanitation,4304000.0,3442357.49,2211186.71,Delayed,2023-09-17,2023-10-15,2025-08-16,Rural Development Department,Unity Infrastructure,19.818063,86.037617,11556.0,MAJOR_DELAY
MPLAD-2026-00276,Tamil Nadu,Madurai,Madurai Constituency 6,Vijay Kumar,Village Sanitation Infrastructure,Sanitation,4776000.0,4320227.04,2969847.6,Completed,2024-02-24,2024-03-11,2024-06-08,Zilla Parishad,Prime Development Works,13.121665,80.200645,14919.0,NORMAL
MPLAD-2026-00068,Maharashtra,Pune,Pune Constituency 7,Anil Verma,Construction of Approach Road,Roads,17030380.7,14111649.22,11353075.11,Completed,2024-05-26,2024-08-12,2024-12-23,Urban Local Body,Apex Civil Works,18.662259,,3688.0,EXTREME_COST
MPLAD-2026-00319,Maharashtra,Nashik,Nashik Constituency 6,Manoj Yadav,Sports Infrastructure Improvement,Sports Infrastructure,3986000.0,3434865.86,1680349.3,Completed,2024-06-10,2024-07-31,2025-01-25,Municipal Corporation,National Projects Ltd,19.446427,72.910693,10595.0,NORMAL
MPLAD-2026-00549,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 8,Amit Kumar,Drainage Improvement Works,Sanitation,796000.0,731835.33,905807.34,Completed,2022-08-27,2022-10-29,2023-04-09,District Administration,Metro Civil Contractors,13.006986,76.69541,3919.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-DUP-0002,Andhra Pradesh,Krishna,Krishna Constituency 5,Ramesh Naidu,Drainage Improvement Works - Phase II,Sanitation,843309.56,692934.68,420044.87,Completed,2025-06-09,2025-09-07,2026-04-24,District Administration,Unity Infrastructure,16.345778,80.238975,1980.0,SIMILAR_DUPLICATE
MPLAD-2026-00715,Tamil Nadu,Salem,Salem Constituency 7,Meena Patel,Construction of Overhead Water Tank,Drinking Water,3803000.0,3688460.93,2154553.5,Delayed,2022-02-26,2022-04-03,INVALID_DATE,Rural Development Department,Sunrise Engineering,12.983136,80.146134,12123.0,MAJOR_DELAY
MPLAD-2026-00754,Andhra Pradesh,Krishna,Krishna Constituency 4,Meena Patel,Renovation of Government School,Education,2896000.0,2650131.38,1234041.76,Delayed,2025-04-12,2025-06-10,2025-08-15,Urban Local Body,Metro Civil Contractors,16.813374,81.029887,13668.0,NORMAL
MPLAD-2026-00328,Odisha,Ganjam,Ganjam Constituency 4,Vijay Kumar,Improvement of Village Road,Roads,723000.0,638945.96,346927.72,Completed,2021-07-29,2021-09-18,2022-01-24,State Public Works Department,Prime Development Works,21.454112,85.851148,3914.0,NORMAL
MPLAD-2026-00383,Gujarat,Ahmedabad,Ahmedabad Constituency 1,Anil Verma,Construction of Approach Road,Roads,4423000.0,3685785.14,3297277.36,Completed,2021-07-31,2021-10-20,2022-06-05,Rural Development Department,Unity Infrastructure,23.539673,72.254971,10566.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00452,Gujarat,Ahmedabad,Ahmedabad Constituency 7,Arun Rao,Installation of Drinking Water Supply System,Drinking Water,4185000.0,4104867.45,2831369.74,Completed,2022-10-01,2022-12-01,2023-03-06,Urban Local Body,Dakshin Projects,23.035435,73.146703,2921.0,NORMAL
